Team,Season,TeamSeason,Staff,Wins,PS/G,PA/G,SRS,Championship,ThreePointers,ThreePointersAttempted,ThreePointPercentage
Magic,elevenSeason,MagicelevenSeason,1,52,99.2,93.7,4.92,0,9.4,25.6,0.366
76ers,elevenSeason,76erselevenSeason,0,41,99,97.5,1.01,0,5.4,15.2,0.355
Suns,elevenSeason,SunselevenSeason,0,40,105,105.9,-0.46,0,8.5,22.6,0.377
Blazers,elevenSeason,BlazerselevenSeason,5,48,96.3,94.8,1.85,0,6.3,18.3,0.345
Kings,elevenSeason,KingselevenSeason,0,24,99.4,104.7,-4.8,0,5.2,15.6,0.335
Spurs,elevenSeason,SpurselevenSeason,1,61,103.7,98,5.86,0,8.4,21.1,0.397
Raptors,elevenSeason,RaptorselevenSeason,2,22,99.1,105.4,-6.28,0,4.2,13.3,0.316
Jazz,elevenSeason,JazzelevenSeason,0,39,99.4,101.3,-1.44,0,5.3,15.3,0.346
Wizards,elevenSeason,WizardselevenSeason,1,23,97.3,104.7,-7.3,0,4.8,14.4,0.332
Hawks,twelveseason,Hawkstwelveseason,0,40,96.6,93.2,2.67,0,7.5,20.2,0.37
Celtics,twelveseason,Celticstwelveseason,2,39,91.8,89.3,2.26,0,5.5,15,0.367
Nets,twelveseason,Netstwelveseason,2,22,93.1,99.1,-6.37,0,7.7,22.4,0.342
Bobcats,twelveseason,Bobcatstwelveseason,0,7,87,100.9,-13.96,0,4,13.5,0.295
Bulls,twelveseason,Bullstwelveseason,0,50,96.3,88.2,7.43,0,6.3,16.9,0.375
Cavaliers,twelveseason,Cavalierstwelveseason,2,21,93,100.2,-7.34,0,6.7,19.3,0.346
Mavericks,twelveseason,Maverickstwelveseason,2,36,95.8,94.8,1.78,0,7.5,22.2,0.339
Nuggets,twelveseason,Nuggetstwelveseason,1,38,104.1,101.2,3.16,0,6.6,19.9,0.332
